CodigoPostulacion;Ciudad;GeneroPostulante;ExperienciaLaboralRelevante;NivelDeEducacion;AreaDelConocimiento;AnosDeExperiencia;TamanoDelaEmpresa;TipoDeEmpresa;AnosEnElActualTrabajo;HorasDeCapacitacion;Etiqueta
8949;585;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;1;36;1
29725;586;Masculino;Sin experiencia relevante;Universitaria;STEM;15;50-99;Ltda;5;47;0
11561;605;;Sin experiencia relevante;Universitaria;STEM;5;;;0;83;0
33241;629;;Sin experiencia relevante;Universitaria;Administraci�n y Neogci;1;;Ltda;0;52;1
666;634;Masculino;Con experiencia relevante;Mag�st;STEM;20;50-99;Startup;4;8;0
21651;607;;Con experiencia relevante;Universitaria;STEM;11;;;1;24;1
28806;625;Masculino;Con experiencia relevante;Ense�anza Med;;5;50-99;Startup;1;24;0
402;628;Masculino;Con experiencia relevante;Universitaria;STEM;13;<10;Ltda;5;18;1
27107;608;Masculino;Con experiencia relevante;Universitaria;STEM;7;50-99;Ltda;1;46;1
699;606;;Con experiencia relevante;Universitaria;STEM;17;10000+;Ltda;5;123;0
29452;624;;Sin experiencia relevante;Ense�anza Med;;2;;;0;32;1
23853;618;Masculino;Con experiencia relevante;Universitaria;STEM;5;5000-9999;Ltda;1;108;0
25619;620;Masculino;Con experiencia relevante;Universitaria;STEM;20;1000-4999;Ltda;3;23;0
5826;621;Masculino;Sin experiencia relevante;;;2;;;0;24;0
8722;615;;Sin experiencia relevante;Ense�anza Med;;5;;;0;26;0
6588;613;Masculino;Con experiencia relevante;Universitaria;STEM;16;oct-49;Ltda;5;18;0
4167;612;;Con experiencia relevante;Universitaria;STEM;1;50-99;Ltda;0;106;0
5764;627;;Con experiencia relevante;Universitaria;STEM;2;5000-9999;Ltda;2;7;0
2156;632;;Con experiencia relevante;Universitaria;STEM;7;10000+;Ltda;0;23;1
11399;616;Femenino;Con experiencia relevante;Universitaria;Arte;4;;;1;132;1
31972;630;Masculino;Con experiencia relevante;Mag�st;STEM;11;100-500;Ltda;1;68;0
19061;614;Masculino;Con experiencia relevante;Mag�st;STEM;11;100-500;Ltda;2;50;0
6491;626;;Con experiencia relevante;Mag�st;STEM;10;;;1;48;0
7041;617;Masculino;Con experiencia relevante;Universitaria;Humanidades;1;1000-4999;Ltda;1;65;0
22767;610;;Con experiencia relevante;Universitaria;STEM;5;1000-4999;Ltda;1;13;0
14505;633;;Sin experiencia relevante;Ense�anza Med;;4;;;0;22;0
17139;636;;Con experiencia relevante;Universitaria;STEM;14;500-999;Ltda;1;148;1
28476;631;Masculino;Con experiencia relevante;Universitaria;Arte;5;;;2;72;0
21538;609;Masculino;Con experiencia relevante;Ense�anza Med;;11;<10;Ltda;1;8;1
10408;635;Masculino;Con experiencia relevante;Universitaria;STEM;18;50-99;Startup;2;68;1
14928;619;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;3;40;0
22293;623;Masculino;Con experiencia relevante;Universitaria;STEM;19;5000-9999;Ltda;5;141;0
4324;622;Femenino;Sin experiencia relevante;Universitaria;STEM;5;;;1;24;0
26966;611;Femenino;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;5;82;0
26494;645;Masculino;Con experiencia relevante;Universitaria;Administraci�n y Neogci;12;5000-9999;Ltda;3;145;0
